img_id,added_objs,removed_objs,changed_objs
30155,none,boy,none
34622,none,person,car
30766,car vehicle,none,none
32152,none,person,none
33416,none,none,none
35639,none,none,none
31470,none,none,none
30159,person,none,person
32843,none,boy,none
34517,vehicle,none,none
31489,none,auto person,none
32657,car man,none,car
35894,none,person,none
30011,none,person,car person
33662,car,person,none
32738,none,none,vehicle
35156,none,none,man
32872,none,person,person vehicle
30083,none,none,car person
30168,none,person,person
33404,person vehicle,none,none
34015,person,none,none
30416,person,person,none
35111,person,car,none
34728,car,none,none
32016,none,person,car
34059,none,person,person
32202,boy ladder object,none,boy
30095,person,none,person
31482,vehicle,none,none
33768,none,car vehicle woman,none
33977,none,person,person
35070,none,none,person
32228,none,vehicle vehicle,none
33058,none,none,boy
32505,none,boy,boy
33678,none,car,none
33289,none,none,person
33325,vehicle,person,none
35240,none,car person,none
33319,person vehicle vehicle,person,none
33537,man object person,person,car person
33414,none,none,person
34294,none,none,vehicle
35315,none,none,car
31070,none,person,car vehicle traffic
34665,person,person,person worker
35668,none,none,person
35787,none,vehicle,none
33376,car,none,none
30178,vehicle,none,none
34400,none,none,person
34967,car,car,man
35733,car,none,person
35221,person,man,none
35752,none,none,person
34659,none,person vehicle,none
34847,car,none,none
34636,person,none,none
30013,car person vehicle,car person vehicle,none
33751,person,none,none
32683,none,none,person
31996,none,person,person
30304,none,vehicle,none
32984,person,none,none
30026,vehicle,man,none
30774,none,none,person
34270,person,none,none
30143,none,car,person
35048,car,car traffic,none
30763,none,car person,none
33062,person,none,car object
35059,person,person,person
33445,person,cart guy vehicle,none
34839,person vehicle,none,person
32813,person,none,person
34206,person,car,none
32712,object,person,none
33275,vehicle,none,none
35388,none,person,car
32230,none,none,none
35605,person vehicle,none,none
35745,person,none,none
30600,person,none,none
33517,none,none,none
32957,none,person,none
32607,car person,car,none
30232,none,person,none
30809,person,none,none
30629,person,person,none
35819,none,person,none
32307,none,cone man,none
32816,person vehicle,none,none
33264,person,person,person
31414,person,none,vehicle
34335,man vehicle,none,vehicle
34763,none,car vehicle,none
32969,none,individual umbrella,none
34759,car,none,none
35511,none,none,person
32100,guy,guy vehicle,none
34464,none,person vehicle,none
33834,person,person,none
31864,person,none,car
31825,none,person,car
33188,person vehicle vehicle,person,none
31465,none,person,person
31114,none,person,person
32681,none,none,none
33658,none,none,person
35642,none,none,person
31227,none,vehicle,none
31582,none,person,none
31303,none,vehicle,none
30682,object,none,person
35392,none,person,none
35292,vehicle car,car,none
31211,vehicle,shadow,none
31592,person,none,none
35072,item object,motorcycle person,none
34165,none,none,person
32071,none,person,none
30971,none,none,person
30962,none,none,person
35553,person,person,person
30254,man,none,none
33099,none,none,person vehicle
32390,person,none,car vehicle
32092,person,none,none
34333,none,none,man
32765,none,car person,none
35200,car,vehicle,none
35256,person,none,car
30025,vehicle,none,none
31494,person,none,person vehicle
32942,person,none,none
31551,person,none,none
32206,none,none,car person
30310,cart person,cart,none
30393,person,none,none
34269,none,vehicle car,none
30595,car man person,man,none
33572,none,car,none
33661,vehicle,none,none
32074,person,person,none
32959,none,person,person
33005,none,person vehicle,none
30939,none,vehicle,none
32625,person,person,none
34043,none,none,car
30892,person,none,person
34050,none,none,person
31315,car,none,none
32507,none,none,vehicle
31398,none,none,person
34530,none,none,person
34261,none,car,none
32104,person,none,none
31208,person,none,person
30687,umbrella,person,none
35832,car person,person,car vehicle
30719,none,person,none
30292,none,person,none
30730,none,person,vehicle
32398,person,none,none
31393,none,none,vehicle
35995,vehicle,none,none
35898,none,person,vehicle
33504,none,person,person
31249,person,none,none
33126,none,car person,car
33920,none,none,car
30309,person,car person,none
34766,none,car person,none
33682,none,none,car
31709,none,car,none
34251,none,none,person
35758,none,person,none
32370,person sign,person,none
32909,person,none,person
34865,person,person,none
32421,none,none,vehicle
32306,none,baggage person vehicle,none
32837,none,car person,none
30062,person,none,person
30490,cart person,none,vehicle
30735,car,car,none
32073,person,person,none
30879,none,person,none
31498,none,car vehicle,none
31009,none,none,person
35191,car person,none,none
35299,person,none,none
32229,none,none,none
31255,car,car person,none
35254,person,none,person
32579,object,none,person
32371,car,none,person
32241,none,none,car
35572,none,none,worker
31193,none,none,none
32388,none,person,none
33854,none,person,none
31686,none,car,none
33120,none,none,none
30738,person,none,none
31365,person vehicle,none,none
30345,none,none,car person
35804,person,none,none
34692,none,person,none
31067,none,man,none
34435,person,none,person
35785,none,none,person
30517,car person,person,person
30063,vehicle,none,none
32023,car,car,none
34762,person vehicle,none,none
34898,none,person,none
33161,none,none,person
30314,group person,group person,none
30960,none,car person,vehicle
31322,none,none,man person
32912,person,none,person
35173,car,none,none
31252,none,bag,none
34467,person,none,none
32997,none,car,none
35769,none,none,person
31267,none,none,person vehicle
32276,person vehicle,none,none
31186,none,person,none
31952,car,none,person
32588,none,none,person
34705,individual,individual,none
30985,none,none,person
33525,car vehicle,car vehicle,none
34958,none,person,none
31516,car,vehicle,none
35687,none,person,none
30924,person,none,none
30768,none,person vehicle,none
35684,person,none,none
34540,none,none,person
31456,vehicle vehicle vehicle,car person,person
30071,none,vehicle,none
30134,none,person,vehicle
30003,vehicle,none,none
30982,person,none,none
30169,car,none,none
33229,person,none,none
35181,none,car vehicle vehicle,none
31076,none,none,car
30565,none,person,none
33915,none,none,person
35535,vehicle,none,none
35943,none,person vehicle,none
34173,none,none,none
32386,car,none,none
31202,car person,none,person
35806,group person,car,none
30695,none,person,car
33844,person,none,person
32198,none,person,person
30187,none,none,car
31062,none,item,none
33093,none,none,car
34932,person,none,none
34185,none,none,car
31900,person,group person,none
31225,person vehicle,none,none
35676,none,car person,none
36016,none,man,none
33160,none,none,car
35972,none,person,none
34977,none,person,none
30415,person,none,none
32509,none,none,car
31908,none,car guy,guy
31183,none,person,vehicle
32787,vehicle vehicle,none,none
34836,person,none,none
30115,person,none,vehicle
31848,none,none,person
34190,person,none,none
34354,person,none,group person
32135,none,vehicle,none
35973,person,none,none
35736,car,none,none
34200,none,none,vehicle
33867,none,none,car
35383,person,none,none
30477,car,group individual,none
34331,person,none,none
30066,none,car,none
34722,none,car,object vehicle
34221,person,none,none
32538,vehicle,vehicle,none
32347,none,person,none
31671,none,none,vehicle
34342,none,car person,none
30269,person,none,none
35597,none,none,man
32688,none,none,car
35875,car,none,none
31355,none,car,none
35033,person,group person,none
30052,person,none,none
34402,person,person,none
34083,person vehicle,none,person
33623,none,none,person
36015,vehicle,none,none
31258,none,person,none
33449,none,person,none
33729,none,none,person
31289,person,none,none
35288,car vehicle,car,none
32227,person,none,pole
30572,person,none,car person
31654,vehicle,none,none
30684,vehicle,person,none
31737,none,person,none
33616,person,none,person
32638,guy,none,guy
31512,none,person,car
31627,person,none,none
30246,car,none,none
35659,person,none,none
30234,none,person,none
31934,none,person,none
30756,car vehicle,none,none
30331,none,vehicle,none
30203,vehicle,none,none
32720,vehicle,none,none
35592,person,none,none
33841,car pedestrian,none,none
35099,car person,none,car object
34175,guy,none,guy
35895,none,person,person vehicle
33575,man,man,man
31450,none,none,car
31152,none,person,person
30947,car,none,none
32188,person,none,none
33998,person,none,car
33742,none,car umbrella,car
31096,person,none,person
31689,person,person,none
30358,person,none,none
33053,none,none,person traffic
35265,none,car,person
33165,none,person,none
30060,none,person,none
31493,person vehicle,vehicle,none
31300,person vehicle,none,person
35933,vehicle,person,none
32356,none,vehicle,none
30017,person,none,car person
35243,none,object,person
31036,none,none,kid person
34080,none,none,person
35934,none,person,traffic
31913,car vehicle,none,none
31753,none,none,person
34352,person,none,none
34199,none,none,vehicle
35782,none,none,gate
35455,none,none,person
34745,none,car,none
30825,person,car,none
33603,person,person,none
31021,person,none,person
34937,item man person,none,car
32516,none,none,person
35902,vehicle,none,none
32966,none,none,car
31472,none,none,vehicle
31536,person,none,car
31276,none,traffic,none
34266,none,none,guy
31429,person,none,none
32883,person,person,none
32380,none,none,none
33743,person,none,none
31801,person,none,none
35673,none,person,none
31399,none,none,none
35322,person,none,none
34455,none,none,person
31613,none,person vehicle,none
33177,cart man person,vehicle,none
32511,car person,none,none
34397,none,person,person
31647,car,none,none
33749,vehicle,none,none
32556,none,none,person
32706,person,vehicle,none
30491,none,none,none
35019,vehicle,pedestrian,none
34497,car,person,none
35218,car,car vehicle,none
35914,none,car,none
33094,none,person,none
30299,none,person,none
30244,none,person,person
34997,person vehicle,none,person
34410,car,vehicle,none
32309,person,person,none
31388,none,none,none
30420,man,vehicle,none
31853,worker,none,none
34027,none,bag person,gate
34451,none,none,person
33997,none,person,none
33269,person,none,none
31995,person,person,none
32820,none,none,none
34232,none,person,none
30705,vehicle,none,none
33484,none,vehicle,none
33069,car,car motorcycle,motorcycle worker
31858,car,none,person
34129,none,person,person
35283,none,none,car
31953,none,car,none
35287,none,none,traffic
35536,group person,none,none
33421,none,car person,none
31148,car person,none,none
31000,car,none,none
31497,none,car,none
31628,none,none,person
32680,none,guy,guy
34828,vehicle,none,none
32333,none,none,none
30727,none,person,none
34827,none,person,none
35607,none,none,person
31632,car,none,none
33701,box,none,person
33664,none,car person,none
31558,person,none,none
35177,none,none,person vehicle
31810,car person,none,none
32012,person,person,none
33842,person,none,none
34901,none,person,vehicle
34513,none,none,car
32140,car,none,person
33254,man person,none,man
35661,car,none,none
35106,none,car object person,none
31119,car vehicle,person,none
35926,none,none,person
30715,individual,none,none
32596,gate,none,gate woman
35965,none,car person,none
31769,person,none,none
33137,person,person,none
30408,car,person,none
33921,none,car person,none
33071,person,person,none
34553,car,car person,person
35469,boy person,none,none
35248,none,person,none
34858,person,none,none
31403,none,person,none
33242,vehicle,none,none
32040,none,none,person
33996,car,none,none
30427,person,none,none
32225,car person vehicle,none,car person
31578,none,person,none
32767,car,none,none
34541,none,man vehicle,none
35406,none,person,car person
34104,person,none,none
31310,none,none,none
30116,none,person,car
32486,none,person,person
32810,none,person,none
31457,none,person,none
30847,person,none,man vest
33594,none,car,none
30615,none,none,vehicle
30849,none,none,person
32166,person,none,none
33650,person,none,none
31288,person,none,none
34716,person,person,car
31886,none,person,none
34457,cart person,person,none
35100,vehicle,none,none
34920,none,none,car
35994,none,person,none
32197,none,none,car
34662,none,person,none
33438,none,none,man
32359,none,person vehicle,none
30877,none,car,none
31180,none,person,vehicle
30250,none,none,individual
32711,none,pedestrian,none
33476,none,person,none
32770,none,none,none
34290,car,none,none
32094,none,none,person
32383,none,none,vehicle
32971,none,none,car
35490,person,person,none
35524,none,man vehicle,none
33313,none,none,person
34863,none,none,none
34012,person,car,none
34320,none,none,person
34590,none,none,car person
30142,man,person,none
32261,person,none,person
35925,none,none,person
31716,car,none,none
35468,bag,none,car
31297,none,none,man person
31375,person,none,none
35551,none,person,none
35396,none,man,person
33326,none,person,none
33300,none,car,none
35593,person,car person,none
32846,none,car person,none
32865,vehicle,vehicle,none
33557,none,none,person
32214,car person,none,none
33080,person,none,none
35158,none,none,person
32457,none,car,none
30831,person,none,none
33246,none,person,person
30445,car,none,none
34595,none,person vehicle,none
32438,person,person,car
35604,none,none,none
30019,car,car,none
35637,none,none,none
34141,person,none,none
35709,vehicle,none,none
33797,none,vehicle,none
31618,none,person,none
30102,person,none,none
35404,car,none,none
35922,none,none,none
34311,person,man object,none
33731,none,car,none
33714,none,car,none
34646,person,vehicle,none
33899,person,none,none
31312,none,none,cart
30657,person,none,none
32250,none,none,person
33348,car guy vehicle,kid man,none
31766,car,none,person
30889,man vehicle,none,none
31767,none,none,person
32766,person,person,none
33810,none,person,none
34028,car,person,none
35362,car person,none,none
33707,person,none,person
33849,none,none,car
33746,none,none,person
35268,none,cart,man
33465,none,none,person
30040,car,none,none
34680,person vehicle,none,person
34423,person,none,none
30661,none,none,none
34808,none,person,none
34032,none,person,vehicle
33014,none,car,none
34816,person,none,none
34194,man,man,none
35579,none,car,none
32760,person,person,none
31373,none,none,person
32608,none,car,person
32218,none,person,none
34870,person,none,none
33508,car vehicle,none,person umbrella
31283,none,none,person
32234,person,none,none
30326,person,none,none
30619,none,person,car
30402,man,none,none
35577,none,none,person
33991,person,none,person
30693,person,none,none
32545,car,car,object
32355,none,vehicle,none
32752,none,car,boy
31804,individual,car,person
30767,person,none,none
33735,boy,boy car,none
30860,none,person,none
35839,none,none,man vehicle
33777,person,person,none
32480,none,none,none
35777,person,car,none
30088,none,none,none
31534,car,none,none
33680,none,car,none
34582,vehicle,none,car
31531,person,none,none
32150,car person,none,none
34884,none,vehicle,person
34393,none,person,none
32874,none,car,none
33357,guy,none,guy
32427,person,none,none
34730,none,person,none
35954,guy,none,guy
34126,boy kid,none,none
34326,person,none,vehicle
34113,none,none,car
32069,person vehicle,none,none
35842,none,none,none
33776,man,none,group man
31206,person,none,person
32949,person,none,none
30646,none,none,none
30188,none,person,none
34566,none,car person,none
31704,none,person,none
33444,person,none,none
31894,none,person,none
34874,car,car,none
32143,person,none,none
31561,car,none,none
32965,none,car,none
31667,car,none,none
32190,none,person,none
32989,none,none,person
31742,person,none,none
32732,none,none,vehicle
31981,none,none,boy
33081,none,none,none
34929,man vehicle,none,man
32462,person,none,none
31869,vehicle,none,person
35380,car,person,none
35711,none,car,car person
33556,vehicle,none,none
30241,none,dolly,none
32572,none,traffic,none
31015,none,car group person,none
31787,person,none,none
31607,person,none,none
34715,person,none,none
35517,person,car,none
33963,dolly guy man,none,guy man
34670,none,none,group person
33292,person,none,none
30235,none,vehicle,none
32478,vehicle,none,none
31751,none,none,person
32811,person,car,none
35856,person,none,none
32293,person,none,none
33789,none,none,person
35996,none,person,none
30545,person,none,none
31921,none,motorcycle person,none
35438,person,person vehicle,none
34930,none,person,car
33175,none,vehicle,none
31997,none,vehicle,none
33641,none,vehicle,none
30129,none,person,none
35622,vehicle,none,none
30946,none,none,car
33543,none,person vehicle,none
32838,vehicle,none,none
34374,none,person,person
33359,none,none,person
31532,none,none,person
31167,car,none,none
31883,none,person,person
32640,motorcycle,none,none
34208,car,none,none
34573,car,car vehicle,none
32452,none,person,none
33567,none,none,person
32095,none,none,none
34754,none,person,none
30625,car,none,none
33502,none,person,none
31025,none,none,person
33599,person,none,person
32113,none,none,vehicle
30861,person,none,none
34158,none,individual,none
34867,person,none,person
35707,none,person,none
33905,car,none,person
32262,none,car,none
30390,none,person,none
33792,none,car person,none
32201,none,person vehicle,none
32235,car,person,none
34297,none,none,none
32392,car,none,none
31075,man person,man,none
33552,none,none,car
33919,car,none,none
32605,none,person,person
33980,car,none,none
31877,person,none,none
32138,person,vehicle,person
34877,none,none,traffic
36018,none,none,none
32614,none,none,car
30569,none,car,none
34960,none,none,person
33542,none,car,none
34041,none,none,person
31007,none,car,none
33046,none,man,none
34547,none,vehicle,none
35055,vehicle woman,car,none
33696,person,none,none
35002,person,none,none
30394,none,car,none
33748,none,pedestrian vehicle,none
32723,vehicle,none,none
35848,none,none,none
30170,none,car,none
35849,none,none,person
34447,car,none,none
31237,car,car,none
33482,person,none,car
34332,vehicle,none,none
30669,person,none,none
33547,person,none,none
30247,none,car person,none
35886,none,none,person
34443,man person,none,none
33627,none,car,vehicle
33470,none,none,person
33765,car,car,none
35120,man,none,car
35161,person,none,none
31761,person,none,none
33117,person,none,vehicle
33828,car,none,none
31691,car,none,none
30080,person,car,none
32994,none,none,person
31302,none,none,car
30522,person,none,none
35727,none,car,none
33485,person,cone vehicle,none
34280,person,person,none
32090,car,none,none
30647,none,car,person
35346,none,car,person
31010,none,none,none
35800,car,none,none
31552,vehicle,none,none
32282,bag man person,man person,none
30538,person vehicle,none,none
33802,none,none,car
33833,none,none,person
35732,person,none,none
30922,person,none,none
34554,none,none,person
30934,person,car,none
30617,none,none,person
31098,none,object,none
33713,person,none,none
30145,person,person,none
33900,none,car,none
32561,none,car,person
31625,person,none,none
31575,none,car,person
31861,none,person,none
33423,none,none,vehicle
34191,man person,none,none
34887,car person,car person,none
31437,none,none,person
33432,person,none,none
35500,man person,none,none
32930,person,none,none
33788,none,person,none
34362,car,none,none
31677,person,none,none
31777,cart guy person,none,none
32853,car,none,none
30870,none,man vehicle,none
35702,person,none,person vehicle
32318,none,none,person
30261,person object,none,person
34313,person,person,none
30200,none,person,car person
35136,none,none,car
34801,none,none,none
34391,person,none,vehicle
35083,car,person,none
32686,none,person,none
34721,person,none,none
33116,person,none,traffic
32597,none,none,person
32498,none,none,person
34003,person car,car person,none
32792,person,none,none
30920,none,person vehicle,none
32405,person,none,none
33747,person,none,person
30903,none,person,none
30109,man,man,none
33663,car,none,none
31802,person,none,none
33176,none,person vehicle,none
35629,person,none,person
34878,none,person,none
31581,none,none,car
33435,none,person vehicle,none
35416,car,none,none
30886,vehicle,none,none
33302,person,person,none
34663,person,none,person
30015,person,none,none
34534,person,none,none
33238,none,none,guy person
32756,none,person,none
31663,car person,none,boy person
32301,none,person,none
34078,none,none,car
33345,vehicle,none,person
31040,none,person,car
34972,person,person,none
31670,none,none,none
31172,car,person object,none
30461,car person vehicle,none,traffic
34824,none,person,person
31323,person umbrella,none,none
31593,none,person,person traffic
32877,none,none,vehicle
35201,car person,none,none
31045,none,none,person
30462,none,none,boy man person
33173,car object,none,none
34277,none,person object,none
35744,none,none,vehicle
31694,car,car,none
34343,car vehicle,person,none
32448,none,car,none
32893,none,person,none
30182,none,none,traffic
35375,person,none,none
34526,car person,none,car
33709,none,none,person
34645,person,none,none
32295,none,car,none
34479,none,person,none
32317,person,none,none
33757,none,person,none
31588,car,car,none
31600,none,person,none
35092,none,none,person
33230,none,none,person
30680,person vehicle,none,none
33654,person,vehicle,none
35683,none,person,none
34109,none,person,none
34522,man person,none,vehicle
33032,man,none,none
33590,cart person,none,none
34037,none,person,none
33703,none,person,none
31675,none,none,vehicle
33985,person,none,none
35300,none,person vehicle,none
30618,none,none,none
33597,none,none,none
34046,car,none,none
34831,none,none,person
35351,none,person,none
33252,person vehicle,none,none
34881,person,person,none
31461,none,person vehicle,none
30220,person,none,none
35378,none,none,person
34470,person,none,none
32145,none,car,none
30470,person umbrella,none,person vehicle
30496,person,person,none
33933,person,none,none
34406,none,person,person
35523,guy,none,guy
30319,person,person,none
35550,none,none,guy
31345,none,none,car
32054,man,man,none
33296,none,person,none
34876,none,none,person
30556,none,man,person
33084,person,none,none
30670,none,vehicle,none
34671,person,none,person
35757,person,object,none
34456,none,person,none
32429,person,none,none
30057,none,none,person
33523,car person,none,none
35207,none,none,man
31603,none,person,person
30005,none,none,person vehicle
34287,person,none,none
34624,person,none,vehicle
34742,none,none,none
31124,person,person,none
33316,car,car,person
30146,man,man person,none
30780,none,none,person
34271,person,none,person
34962,man,none,none
33673,none,car,none
31103,person,none,person
32389,person,person,none
33381,none,vehicle,none
35065,vehicle,none,none
33355,none,none,none
34604,man person,none,none
33179,individual,none,none
32896,vehicle,vehicle,none
34761,none,none,car
31408,none,none,person
30114,person,none,traffic
30635,none,man,none
32470,none,person,none
35274,car person,none,none
31585,vehicle,none,none
32431,person vehicle,none,none
33952,person,none,none
32831,none,person vehicle,none
33265,person,person,none
35198,none,none,person
32635,none,person,none
33076,car person,vehicle,none
30238,none,car,none
35260,car,none,none
30479,person,none,none
33918,car person,none,person
31868,none,none,gate
32363,person vehicle,none,none
32176,car person,none,person
32851,person,car,none
33911,none,none,vehicle
30094,person,none,none
32557,person,none,person vehicle
33010,none,car,vehicle
35193,none,car,none
30379,none,none,person
30493,none,person object,car
32047,none,none,vehicle
35053,none,person,none
32702,car,none,none
35123,none,car,person
35561,man,none,none
32682,person,none,none
32788,none,person vehicle,none
30926,person,car,none
33908,car,none,none
34256,person,none,none
34750,none,person,none
35502,none,none,person
35948,vehicle,person,none
31383,person,none,person
30581,person,none,person
30627,none,none,person
35649,none,none,person
31619,none,person,none
30344,none,person vehicle,none
32744,none,person vehicle,none
31026,car,none,none
32772,none,vehicle,none
34850,none,person,none
30571,man umbrella,none,none
33204,person umbrella,none,none
30677,car vehicle,none,none
32847,none,none,man person
35104,box person,none,none
34525,person,none,none
34315,person,none,none
34201,vehicle woman,none,none
32850,none,person,person
33686,none,none,vehicle
32148,person,none,none
32208,none,person,none
33738,none,none,person vehicle
32491,person vehicle,person vehicle,none
34691,people,car person,none
34432,person,none,none
34299,none,car,none
30722,none,person,none
32670,none,car,none
35257,car,car,none
34658,none,none,person
34916,person,none,none
32755,person,none,none
34422,none,person,person
33613,vehicle,vehicle,none
33007,none,person,none
30372,car,none,none
31106,none,none,person
32905,person,car,none
32916,car,person,none
32122,none,none,person
34717,none,none,person
31866,none,person,none
33652,person,none,none
33622,none,none,none
32929,none,person,person
33285,none,person vehicle,none
34055,person,none,none
30574,none,person vehicle,none
34174,none,none,car
33450,none,car,none
32621,none,person,traffic
31272,person,none,none
31477,item,none,man
30376,none,none,person
31468,car person vehicle,car vehicle,none
30634,man,man,none
33942,none,none,person
30112,none,none,person
32537,person,none,none
31413,person,man person,none
32972,none,none,car
33598,person,person,none
35799,none,none,none
34791,none,none,person
31292,person,none,vehicle
30830,none,person,none
30165,pedestrian,person vehicle,none
33683,none,man vehicle,none
32547,vehicle,none,none
30736,vehicle,none,none
31895,none,none,person
30964,none,car person,none
32493,none,person,person
34495,none,person,none
30384,car,none,person
32277,car person,none,person
30613,none,none,none
32860,vehicle person,none,none
34416,none,person,none
33045,none,person,none
31816,none,none,person
31306,none,none,object
33486,person,none,none
30728,none,none,person
33060,none,none,traffic
35470,car,none,none
31447,person,person,none
35076,car vehicle,none,person vehicle
33651,person,none,person
34910,vehicle,none,car
35788,item,none,none
34577,person,none,none
31017,none,none,vehicle
32319,person,none,person
35235,person,person,none
30448,person,none,none
35412,none,person,person
34139,none,vehicle,none
33207,none,none,person
31241,vehicle,none,person
31521,none,car,none
33299,none,none,car
30553,person,person,person
34074,none,person,none
32677,person,none,none
31304,none,car,none
35616,none,person,none
31954,person vehicle,none,none
35987,none,none,vehicle
30473,person,none,person
34700,none,car,person
32812,none,object,none
35126,none,person,none
30990,none,none,person
31126,car,none,person car umbrella
30720,none,man vehicle,none
35770,none,none,person
33566,none,none,person
32661,person,none,none
32315,car,car,none
31053,person,person,none
34738,none,person,none
34077,none,none,car
32237,none,person,car
30464,person,none,none
35443,none,man,man
30671,none,none,person
32447,none,vehicle,none
30418,object,none,none
32700,man,none,none
30315,car person,man,none
33127,none,none,none
32818,person umbrella,none,none
31083,none,none,none
34399,none,person,car
33712,none,car,person
31942,none,none,person
33524,none,none,person vehicle
30223,none,none,person
30932,none,person,none
32964,none,none,none
33070,person,none,none
34327,person,none,car
34601,person vehicle,none,none
32010,person,none,person
33807,none,person,none
35023,none,person,none
30802,object,man,none
35656,person,none,none
30074,none,car,none
35634,vehicle,none,car
35696,person,car person,none
30697,none,person,none
32586,vehicle,none,none
32941,none,none,man
35615,man,none,man
33339,none,none,person
34524,none,none,car
33328,vehicle,none,none
32630,person,none,none
35354,none,vehicle,person
30816,car,none,none
36002,none,none,man
34018,man,none,person
31985,none,none,guy
33346,none,none,car
30552,none,person,none
35508,none,box car,none
31235,person vehicle,none,none
32987,none,man vehicle,none
34490,car,none,traffic
32970,car person,none,none
30838,person vehicle,none,none
32488,man person,none,man
30686,none,none,person vehicle object
35880,none,none,none
35063,person,none,none
30502,none,car,person
31879,none,none,person
34989,person,none,none
33595,none,car,person
34038,person,none,car
35810,person,none,traffic
33535,none,car,person
33272,vehicle,none,none
30585,none,none,car
32336,none,person,traffic
33498,none,person,none
34444,person,none,person
35928,none,car,none
34347,none,none,car
34267,person,person,none
35950,none,none,person
35812,none,person,none
31492,person,none,none
31433,person,none,none
35215,none,person vehicle,none
35644,none,none,none
32611,person,none,none
31546,person,none,person
35303,none,person,none
33280,none,none,none
30901,none,none,person
31713,person,none,none
30997,person,vehicle,none
35795,car,person,person
33837,person,none,none
30623,none,none,person
34268,none,none,person
30438,person,none,car
34179,none,pedestrian,car traffic
30264,none,car,none
34702,none,person,person
34634,none,person object,none
34915,none,none,car
34907,none,vehicle,none
35127,car person,none,none
33733,person,none,person
31341,person,none,person
30521,none,person,none
31573,none,person,none
35883,person,none,none
35884,object person,none,person
33079,none,person,none
30463,person,none,person
33916,car,none,person
31415,none,car,none
30446,none,person,none
35165,person,person,none
35010,guy,none,guy
31200,none,person,none
31397,person,none,none
32746,none,none,man
34474,none,vehicle,none
30343,none,none,none
32828,none,none,person
30152,vehicle,none,none
33799,vehicle vehicle,none,person vehicle
34230,none,person,none
30848,person,none,none
33291,person,vehicle,none
33052,person,none,none
34051,none,car,person
34485,none,person,none
35133,none,none,none
34768,car,person,none
35330,none,none,none
33618,none,none,none
32952,car person,none,person
30329,none,none,none
30459,person,person,vehicle
34682,none,object,none
30605,none,person,none
32254,none,person,none
33019,none,none,person vehicle
35073,vehicle,vehicle,person
30526,vehicle,person,none
31824,person,person,person vehicle
31950,none,person,none
36000,none,vehicle,person
31696,none,none,person vehicle
34778,car object,none,vehicle
31735,person,none,none
34349,car,none,none
35841,none,none,person
33852,person,none,none
33602,person,none,car
35591,man,man,none
30279,none,person vehicle,none
30509,vehicle,none,none
35859,person,none,car
31420,none,none,vehicle
31746,vehicle vehicle,none,none
34616,none,person,none
34341,none,none,none
33228,car,none,person
33639,person,none,none
35203,none,vehicle,none
31133,none,person,none
31669,car person,none,person
31069,car,none,none
33389,person umbrella,none,none
34097,none,vehicle,none
32435,none,person object,person
34247,person vehicle,none,none
30797,car person,person,person
34594,none,none,car
31065,none,none,person
